aTitle,Artist,Genres,Id
Dance Monkey,Tones and I,pop,0
ROXANNE,Arizona Zervas,"pop, rap",1
Tusa,KAROL G,"latin, trap",2
Circles,Post Malone,rap,3
Memories,Maroon 5,"pop, rock",4
Falling,Trevor Daniel,"rap , pop, r&b",5
Don't Start Now,Dua Lipa,"pop, dance",6
RITMO (Bad Boys For Life),Black Eyed Peas,"pop, dance",7
Senorita,Shawn Mendes,"pop , dance",8
Blinding Lights,The Weeknd,"pop , r&b ",9
bad guy,Billie Eilish,"pop, electropop",10
everything I wanted,Billie Eilish,"pop, electropop",11
Adore You,Harry Styles,pop,12
Lose You To Love Me,Selena Gomez,"pop , dance",13
Watermelon Sugar,Harry Styles,pop,14
Old Town Road - Remix,Lil Nas X,"lgbtq, hippop, rap, pop",15
Sucker,Jonas Brothers,"pop, boyband, dance, pop",16
Psycho,Red Velvet,"kpop, girlband",17
Bohemian Rhapsody,Queen,"rock, classic",18
Believer,Imagine Dragons,"modern, rock, pop",19
Deja vu,Olivia Rodrigo,"pop, rock, art-rock",20
Beggin’,Maneskin,"rock, indie, pop,rock, spanish",21
Butter,BTS,"pop,boyband, dance, electronic, kpop",22
Stay,Justin Beiber,"r&b, hippop, soul, indie, rap",23
Because,The Beatles,"indie, pop, rock folk",24
Smells like teen spirit,Nirvana,"alternative rock, grunge",25
Lithium,Nirvana,"alternative rock, grunge",26
Breed,Nirvana,"alternative rock, grunge",27
School,Nirvana,"alternative rock ,grunge",28
Something In The Way,Nirvana,"alternative rock, grunge",29
Heart Shaped Box,Nirvana,"alternative rock, grunge",30
